projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20210421-25658,68 AVENUE,78 STREET,79 STREET,denied,2020-12-08,2023-07-19T12:14:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,4,4,1,0,40.711015,-73.875355,srts_citywide.csv
SR-20241009-33426,69 LANE,QUEENS MIDTOWN EXPRESSWAY,QUEENS MIDTOWN EXPRESSWAY,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",,,One-way,5,6,0,0,40.725077,-73.89248,srts_citywide.csv
SR-20240126-31277,LINDEN STREET,FOREST AVENUE,60 PLACE,denied,2024-01-26,2024-03-06T16:01:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,12,13,4,0,40.708463,-73.904009,srts_citywide.csv
SR-20201009-20015,60 LANE,68 ROAD,CATALPA AVENUE,denied,2020-01-09,2023-12-04T12:20:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,5,2,0,40.704019,-73.897946,srts_citywide.csv
SR-20230428-29478,MYRTLE AVENUE,66 STREET,66 STREET,denied,2023-04-28,2023-11-27T12:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,5,6,2,0,40.70132,-73.888353,srts_citywide.csv
SR-20240405-31519,DECATUR STREET,SENECA AVENUE,FOREST AVENUE,denied,2024-04-05,2024-04-17T12:44:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,4,5,3,0,40.697435,-73.898601,srts_citywide.csv
SR-20241009-33426,69 LANE,QUEENS MIDTOWN EXPRESSWAY,CALDWELL AVENUE,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,6,0,0,40.724839,-73.892293,srts_citywide.csv
SR-20230502-29495,63 STREET,59 AVENUE,59 DRIVE,denied,2023-05-01,2023-05-11T14:00:00.000,Denied pre-inspection - Closed,,,Two-way,4,5,0,0,40.719547,-73.90154,srts_citywide.csv
SR-20221004-28843,75 STREET,68 AVENUE,68 ROAD,denied,2022-09-30,2022-10-06T15:07:00.000,"Accept planning proposal of Not Feasible, Closed",,,One-way,1,1,0,0,40.710735,-73.877184,srts_citywide.csv
SR-20210304-25455,CALDWELL AVENUE,74 STREET,75 STREET,denied,2020-09-23,2023-03-10T10:18:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,4,5,2,0,40.724639,-73.887076,srts_citywide.csv
SR-20240419-31592,METROPOLITAN AVENUE,PLEASANTVIEW STREET,73 PLACE,denied,2024-04-18,2024-05-02T12:29:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,12,16,3,0,40.712455,-73.882054,srts_citywide.csv
SR-20230608-29878,59 PLACE,59 DRIVE,60 AVENUE,denied,2023-06-08,2023-06-26T13:26:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,10,1,0,40.717381,-73.907683,srts_citywide.csv
SR-20221118-29046,GRAND AVENUE,55 STREET,56 STREET,denied,2022-11-15,2023-07-20T14:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,11,15,0,0,40.71881,-73.914265,srts_citywide.csv
SR-20230426-29450,CATALPA AVENUE,WOODWARD AVENUE,FOREST AVENUE,denied,2023-02-23,2023-10-03T16:49:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,24,28,5,0,40.702337,-73.901367,srts_citywide.csv
SR-20240111-31240,CORNELIA STREET,ONDERDONK AVENUE,WOODWARD AVENUE,denied,2024-01-10,2024-01-29T13:46:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,24,25,8,0,40.701963,-73.903802,srts_citywide.csv
SR-20201127-20144,GATES AVENUE,FRESH POND ROAD,64 STREET,denied,2020-03-11,2022-11-29T15:20:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,28,33,4,0,40.70904,-73.898454,srts_citywide.csv
SR-20210319-25531,64 STREET,DEAD END,75 AVENUE,denied,2020-10-21,2023-02-15T14:37:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,16,16,5,0,40.699905,-73.892301,srts_citywide.csv
SR-20230103-29148,66 PLACE,OTTO ROAD,70 AVENUE,denied,2022-12-20,2023-01-09T12:04:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,2,2,0,0,40.7056,-73.889118,srts_citywide.csv
