referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ25-3181,52 ROAD,67 STREET,All-Way Stop,denied,2025-10-06,2025-10-30T00:00:00.000,Study Request Denial,,P.S. 229 EMANUEL KAPLAN,No,2,2,0,0,40.732924,-73.897919,data_cb5_signal_studies.csv
CQ25-3180,52 ROAD,66 STREET,All-Way Stop,denied,2025-10-06,2025-11-12T00:00:00.000,Study Request Denial,,,No,5,7,0,0,40.73294,-73.89911,data_cb5_signal_studies.csv
CQ25-3033B,CYPRESS AVENUE,VERMONT PLACE,Traffic Signal,denied,2025-09-04,2025-12-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,52,75,1,0,40.691433,-73.89063,data_cb5_signal_studies.csv
CQ25-2943B,FLUSHING AVENUE,53 STREET,Traffic Signal,denied,2025-08-29,2025-11-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,20,1,0,40.714424,-73.914246,data_cb5_signal_studies.csv
CQ25-2807B,DRY HARBOR ROAD,80 STREET,Traffic Signal,denied,2025-08-01,2025-11-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,23,2,0,40.717827,-73.8724,data_cb5_signal_studies.csv
CQ25-2632,78 AVENUE,64 PLACE,All-Way Stop,denied,2025-08-13,2025-08-22T00:00:00.000,Study Request Denial,,,No,12,18,1,0,40.697346,-73.89081,data_cb5_signal_studies.csv
CQ25-2631,78 AVENUE,64 STREET,All-Way Stop,denied,2025-08-13,2025-08-22T00:00:00.000,Study Request Denial,,,No,11,18,0,0,40.697144,-73.89169,data_cb5_signal_studies.csv
CQ25-2566B,FRESH POND ROAD,60 ROAD,Leading Pedestrian Interval,denied,2025-08-08,2025-09-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,6,7,1,0,40.716143,-73.901585,data_cb5_signal_studies.csv
CQ25-2472B,78 STREET,JUNIPER BOULEVARD SOUTH,Traffic Signal,denied,2025-07-14,2025-09-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,4,0,0,40.71979,-73.877266,data_cb5_signal_studies.csv
CQ25-2441B,PUTNAM AVENUE,FOREST AVENUE,Traffic Signal,denied,2025-07-14,2025-10-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ25-2410B,MYRTLE AVENUE,60 LANE,Traffic Signal,denied,2025-06-24,2025-09-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,27,32,6,0,40.700653,-73.89628,data_cb5_signal_studies.csv
CQ25-2359,78 AVENUE,60 STREET,All-Way Stop,denied,2025-07-11,2025-12-04T00:00:00.000,Study Request Denial,,CHILDCARE MY FIRST STEPS DAYCARE / P.S. 068 CAMBRIDGE,No,5,5,1,0,40.69609,-73.89632,data_cb5_signal_studies.csv
CQ25-2292,STARR STREET,ONDERDONK AVENUE,Traffic Signal,denied,2025-07-02,2025-08-11T00:00:00.000,Study Request Denial,,,No,11,17,4,0,40.71029,-73.91789,data_cb5_signal_studies.csv
CQ25-2240,DEKALB AVENUE,ONDERDONK AVENUE,Traffic Signal,denied,2025-06-30,2025-11-07T00:00:00.000,Study Request Denial,,P.S. 305 LEARNERS AND LEADERS,No,12,16,4,0,40.707632,-73.915841,data_cb5_signal_studies.csv
CQ25-2094B,BORDEN AVENUE,MAURICE AVENUE,Traffic Signal,denied,2025-05-30,2025-09-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,45,68,1,0,40.727733,-73.906731,data_cb5_signal_studies.csv
CQ25-2062,COOPER AVENUE,60 LANE,Traffic Signal,denied,2025-06-09,2025-09-15T00:00:00.000,Study Request Denial,,,No,2,2,1,0,40.6965692144966,-73.8945563503407,data_cb5_signal_studies.csv
CQ25-2040,76 STREET,78 AVENUE,All-Way Stop,denied,2025-06-04,2025-11-24T00:00:00.000,Study Request Denial,,I.S. 119 THE GLENDALE,No,4,7,1,0,40.70455,-73.873355,data_cb5_signal_studies.csv
CQ25-2000,72 PLACE,COOPER AVENUE,All-Way Stop,denied,2025-05-30,2025-12-12T00:00:00.000,Study Request Denial,,I.S. 119 THE GLENDALE,No,5,8,1,0,40.70352,-73.877875,data_cb5_signal_studies.csv
CQ25-1999,MENAHAN STREET,60 PLACE,All-Way Stop,denied,2025-05-30,2025-12-15T00:00:00.000,Study Request Denial,,NOTRE DAME CATHOLIC ACADEMY OF RIDGEWOOD,No,7,8,1,0,40.710445,-73.902655,data_cb5_signal_studies.csv
CQ25-1904B,FOREST AVENUE,CATALPA AVENUE,Left Turn Arrow/Signal,denied,2025-05-27,2025-12-12T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,22,26,3,0,40.702446,-73.90099,data_cb5_signal_studies.csv
CQ25-1762B,WOODHAVEN BOULEVARD,UNION TURNPIKE,Traffic Signal,denied,2025-05-09,2025-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,44,3,0,40.70559,-73.85823,data_cb5_signal_studies.csv
CQ25-1652B,WYCKOFF AVENUE,COOPER AVENUE,Leading Pedestrian Interval,denied,2025-04-28,2025-12-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,8,9,1,0,40.69335,-73.90041,data_cb5_signal_studies.csv
CQ25-1622B,CENTRAL AVENUE,CYPRESS HILLS STREET,Left Turn Arrow/Signal,denied,2025-04-25,2025-12-12T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,29,35,8,0,40.701862,-73.89272,data_cb5_signal_studies.csv
CQ25-1511,FLUSHING AVENUE,56 STREET,Traffic Signal,denied,2025-05-01,2025-10-21T00:00:00.000,Study Request Denial,,Q009 (D75) AT THE WALTER REED SCHOOL,No,7,18,2,0,40.716404,-73.911959,data_cb5_signal_studies.csv
CQ25-1510,61 STREET,57 ROAD,Traffic Signal,denied,2025-05-01,2025-07-14T00:00:00.000,Study Request Denial,,PS 58 THE SCHOOL OF HEROES,No,11,13,3,0,40.722599,-73.90456299999998,data_cb5_signal_studies.csv
CQ25-1507,69 PLACE,65 DRIVE,Traffic Signal,denied,2025-05-01,2025-07-22T00:00:00.000,Study Request Denial,,Q255 (D75) AT P.S. 128,No,7,9,1,0,40.715369,-73.88653999999998,data_cb5_signal_studies.csv
CQ25-1492,EDSALL AVENUE,75 STREET,Traffic Signal,denied,2025-04-30,2025-10-10T00:00:00.000,Study Request Denial,,I.S. 119 THE GLENDALE,No,6,10,1,0,40.706541,-73.87515,data_cb5_signal_studies.csv
CQ25-1333,69 STREET,62 AVENUE,Traffic Signal,denied,2025-04-18,2025-05-15T00:00:00.000,Study Request Denial,,,No,4,7,2,0,40.717617,-73.88954,data_cb5_signal_studies.csv
CQ25-1196,GATES AVENUE,GRANDVIEW AVENUE,Traffic Signal,denied,2025-03-14,2025-11-03T00:00:00.000,Study Request Denial,,Q075 (D75) AT I.S. 093 RIDGEWOOD,No,8,8,5,0,40.70755,-73.90404,data_cb5_signal_studies.csv
CQ25-1194,78 AVENUE,84 STREET,Traffic Signal,denied,2025-03-12,2025-07-08T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,No,0,0,0,0,40.70667,-73.865206,data_cb5_signal_studies.csv
CQ25-0725B,JUNIPER VALLEY ROAD,80 STREET,Left Turn Arrow/Signal,denied,2025-03-11,2025-06-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,11,14,1,0,40.71599,-73.87209,data_cb5_signal_studies.csv
CQ25-0556,60 STREET,56 DRIVE,All-Way Stop,denied,2025-03-10,2025-07-08T00:00:00.000,Study Request Denial,,MARTIN LUTHER HIGH SCHOOL,No,8,10,2,0,40.7238375,-73.90633700000001,data_cb5_signal_studies.csv
CQ25-0497B,69 STREET,JUNIPER VALLEY ROAD,Left Turn Arrow/Signal,denied,2025-02-26,2025-08-11T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,11,3,0,40.72184062371875,-73.89068898306941,data_cb5_signal_studies.csv
CQ25-0457B,ELIOT AVENUE,LUTHERAN AVENUE,Left Turn Arrow/Signal,denied,2025-02-18,2025-08-21T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,13,16,3,0,40.722525000000005,-73.884555,data_cb5_signal_studies.csv
CQ25-0412,FAIRVIEW AVENUE,GREENE AVENUE,All-Way Stop,denied,2025-02-19,2025-07-08T00:00:00.000,Study Request Denial,,,No,16,19,5,0,40.708553,-73.908966,data_cb5_signal_studies.csv
CQ25-0296B,86 STREET,ELIOT AVENUE,Leading Pedestrian Interval,denied,2025-02-03,2025-07-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,21,26,4,1,40.72911,-73.87161,data_cb5_signal_studies.csv
CQ25-0286B,ELIOT AVENUE,84 STREET,Leading Pedestrian Interval,denied,2025-01-28,2025-04-25T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,6,9,1,0,40.72709,-73.87472,data_cb5_signal_studies.csv
CQ25-0285B,ELIOT AVENUE,84 STREET,Traffic Signal,denied,2025-01-28,2025-04-24T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,6,9,1,0,40.72709,-73.87472,data_cb5_signal_studies.csv
CQ25-0271,MYRTLE AVENUE,72 STREET,All-Way Stop,denied,2025-01-30,2025-03-24T00:00:00.000,Study Request Denial,,,No,21,30,5,0,40.702145,-73.87826,data_cb5_signal_studies.csv
CQ25-0179B,MYRTLE AVENUE,CYPRESS HILLS STREET,Leading Pedestrian Interval,denied,2025-01-03,2025-07-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,38,9,0,40.701103,-73.89088,data_cb5_signal_studies.csv
CQ25-0172,CYPRESS AVENUE,PUTNAM AVENUE,All-Way Stop,denied,2025-01-19,2025-02-24T00:00:00.000,Study Request Denial,,,No,51,55,13,0,40.700367,-73.906624,data_cb5_signal_studies.csv
CQ25-0094B,METROPOLITAN AVENUE,FOREST AVENUE,Leading Pedestrian Interval,denied,2025-01-15,2025-07-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,19,0,40.712902,-73.90608,data_cb5_signal_studies.csv
CQ24-3719,72 PLACE,53 ROAD,All-Way Stop,denied,2024-11-22,2025-03-25T00:00:00.000,Study Request Denial,,PS58 SCHOOL OF HEROES / IS 73 THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,No,4,6,1,0,40.7308484188404,-73.8914460268618,data_cb5_signal_studies.csv
CQ24-3675,67 AVENUE,60 STREET,All-Way Stop,denied,2024-11-15,2024-12-16T00:00:00.000,Study Request Denial,,,No,15,17,6,0,40.7046605130931,-73.9004080569593,data_cb5_signal_studies.csv
CQ24-3522,63 AVENUE,83 PLACE,All-Way Stop,denied,2024-10-25,2025-03-17T00:00:00.000,Study Request Denial,,ANGELA'S DAYCARE,No,5,7,1,0,40.72312,-73.87216,data_cb5_signal_studies.csv
CQ24-3516B,SENECA AVENUE,CATALPA AVENUE,Traffic Signal,denied,2024-10-30,2025-02-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,56,67,18,0,40.700737,-73.9042,data_cb5_signal_studies.csv
CQ24-3431,PUTNAM AVENUE,WOODWARD AVENUE,Traffic Signal,denied,2024-08-09,2025-03-13T00:00:00.000,Study Request Denial,,SAINT MATTHIAS SCHOOL,No,22,25,8,0,40.703537,-73.90339,data_cb5_signal_studies.csv
CQ24-3155,STEPHEN STREET,WYCKOFF AVENUE,All-Way Stop,denied,2024-09-23,2025-03-13T00:00:00.000,Study Request Denial,,,No,8,9,4,0,40.695526,-73.903946,data_cb5_signal_studies.csv
CQ24-2945,65 STREET,CATALPA AVENUE,All-Way Stop,denied,2024-09-10,2024-10-02T00:00:00.000,Study Request Denial,,,No,7,7,3,0,40.704845,-73.892136,data_cb5_signal_studies.csv
CQ24-2843,66 ROAD,71 STREET,All-Way Stop,denied,2024-09-04,2025-03-12T00:00:00.000,Study Request Denial,,Q255 D75 @ PS 128,No,5,12,1,0,40.71395,-73.884209,data_cb5_signal_studies.csv
CQ24-2742B,METROPOLITAN AVENUE,GRANDVIEW AVENUE,Leading Pedestrian Interval,denied,2024-08-06,2025-03-21T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,17,20,1,0,40.713333,-73.91305,data_cb5_signal_studies.csv
CQ24-2734B,64 PLACE,CENTRAL AVENUE,Traffic Signal,denied,2024-08-06,2024-09-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,36,44,8,0,40.702126,-73.89164,data_cb5_signal_studies.csv
CQ24-2733B,ELIOT AVENUE,74 STREET,Leading Pedestrian Interval,denied,2024-07-31,2025-02-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,17,3,0,40.72202,-73.88565,data_cb5_signal_studies.csv
CQ24-2699,ANDREWS AVENUE,55 STREET,Traffic Signal,denied,2024-08-23,2025-02-10T00:00:00.000,Study Request Denial,,P.S. 290 A.C.E. ACADEMY FOR SCHOLARS.,No,18,26,2,0,40.714363,-73.909614,data_cb5_signal_studies.csv
CQ24-2689,76 STREET,58 AVENUE,All-Way Stop,denied,2024-08-22,2024-11-12T00:00:00.000,Study Request Denial,,,No,2,3,3,0,40.726478,-73.884475,data_cb5_signal_studies.csv
CQ24-2581,60 AVENUE,71 STREET,All-Way Stop,denied,2024-08-13,2025-07-03T00:00:00.000,Study Request Denial,,,No,7,9,2,0,40.72325,-73.888824,data_cb5_signal_studies.csv
CQ24-2502B,METROPOLITAN AVENUE,FOREST AVENUE,Traffic Signal,denied,2024-07-09,2024-10-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,19,0,40.712902,-73.90608,data_cb5_signal_studies.csv
CQ24-2501B,MYRTLE AVENUE,ST NICHOLAS AVENUE,Traffic Signal,denied,2024-07-09,2024-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,37,40,11,0,40.69984,-73.90868,data_cb5_signal_studies.csv
CQ24-2498B,FRESH POND ROAD,METROPOLITAN AVENUE,Left Turn Arrow/Signal,denied,2024-07-09,2025-02-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,57,64,17,0,40.712696,-73.900604,data_cb5_signal_studies.csv
CQ24-2408,ST FELIX AVENUE,60 STREET,Traffic Signal,denied,2024-07-30,2025-01-14T00:00:00.000,Study Request Denial,,P.S. 068 CAMBRIDGE,No,6,7,3,0,40.696482,-73.897564,data_cb5_signal_studies.csv
CQ24-2230B,JUNIPER BOULEVARD SOUTH,69 PLACE,Traffic Signal,denied,2024-06-14,2024-09-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,7,9,1,0,40.716393,-73.886665,data_cb5_signal_studies.csv
CQ24-2214B,FRESH POND ROAD,67 AVENUE,Traffic Signal,denied,2024-06-14,2024-10-01T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,25,27,11,0,40.705765,-73.896576,data_cb5_signal_studies.csv
CQ24-2174B,MAURICE AVENUE,BORDEN AVENUE,Traffic Signal,denied,2024-05-20,2024-09-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,45,68,1,0,40.727733,-73.906731,data_cb5_signal_studies.csv
CQ24-2152B,67 ROAD,73 PLACE,Traffic Signal,denied,2024-05-20,2024-09-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,19,23,13,0,40.712025,-73.87923,data_cb5_signal_studies.csv
CQ24-2150B,GRAND AVENUE,72 STREET,Leading Pedestrian Interval,denied,2024-05-20,2024-10-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,17,19,3,0,40.72816,-73.891525,data_cb5_signal_studies.csv
CQ24-2132B,GRAND AVENUE,HAMILTON PLACE,Leading Pedestrian Interval,denied,2024-05-14,2024-10-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,44,58,6,0,40.72428,-73.898445,data_cb5_signal_studies.csv
