referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ23-0751B,FRESH POND ROAD,BLEECKER STREET,Left Turn Arrow/Signal,denied,2023-03-16,2023-07-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,16,0,40.711903,-73.90019,data_cb5_signal_studies.csv
CQ23-0750B,61 STREET,METROPOLITAN AVENUE,Left Turn Arrow/Signal,denied,2023-03-16,2023-07-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,59,70,17,0,40.712757,-73.90225,data_cb5_signal_studies.csv
CQ23-0611,MYRTLE AVENUE,72 PLACE,Traffic Signal,denied,2023-03-08,2023-08-14T00:00:00.000,Study Request Denial,,,No,12,16,2,0,40.70222,-73.87734,data_cb5_signal_studies.csv
CQ23-0570B,57 AVENUE,74 STREET,Leading Pedestrian Interval,denied,2023-02-16,2024-08-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,10,4,0,40.72861,-73.88721,data_cb5_signal_studies.csv
CQ23-0517,68 AVENUE,64 PLACE,All-Way Stop,denied,2023-02-21,2023-08-07T00:00:00.000,Study Request Denial,,ONCE UPON A TIME DAYCARE AND PRESCHOOL,No,4,4,1,0,40.705956,-73.8936,data_cb5_signal_studies.csv
CQ23-0515,71 PLACE,COOPER AVENUE,All-Way Stop,denied,2023-02-22,2023-03-27T00:00:00.000,Study Request Denial,,PS 91Q RICHARD ARKWRIGHT SCHOOL,No,28,38,9,0,40.702625,-73.8794,data_cb5_signal_studies.csv
CQ23-0477,68 ROAD,60 STREET,All-Way Stop,denied,2023-02-16,2023-04-17T00:00:00.000,Study Request Denial,,,No,14,16,4,0,40.704068,-73.900113,data_cb5_signal_studies.csv
CQ23-0471B,CALDWELL AVENUE,ELIOT AVENUE,Leading Pedestrian Interval,denied,2023-02-09,2024-08-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,26,36,11,0,40.7252623621263,-73.8797865999895,data_cb5_signal_studies.csv
CQ23-0442,OTTO ROAD,68 PLACE,All-Way Stop,denied,2023-02-10,2023-05-15T00:00:00.000,Study Request Denial,,,No,4,5,1,0,40.706154,-73.88555,data_cb5_signal_studies.csv
CQ23-0429B,BORDEN AVENUE,69 STREET,Traffic Signal,denied,2023-02-06,2023-05-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,5,0,0,40.72371262222595,-73.89128557459745,data_cb5_signal_studies.csv
